id_com,nom_comunidad
11,Extremadura
12,Galicia
6,Cantabria
13,Comunidad de Madrid
5,Canarias
17,La Rioja
10,Comunitat Valenciana
19,Ciudad Autónoma de Melilla
3,Principado de Asturias
16,País Vasco/Euskadi
15,Comunidad Foral de Navarra
9,Cataluña/Catalunya
4,Illes Balears
2,Aragón
14,Región de Murcia
1,Andalucía
7,Castilla y León
8,Castilla-La Mancha
18,Ciudad Autónoma de Ceuta
